name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
赛博 MLMS,BSC_Sabot_MLMS,2,,7800,1200,,100,,15,10,26,30,,,KINETIC,0,,0,12,3,0.25,0,0,0,0,,150,50,8,300,,,GUIDED_POOR,"missile13, strike8, rare_bp, remnant, merc",,,,反护盾,较慢,较差,,,当命中船体或装甲时，有 %s 的概率产生打击武器与引擎的电弧，造成 %s EMP。,25% | 200,,,TRUE,3
双联钻探激光炮,BSC_Double_Mining_Laser,0,,200,600,60,,,0,80,4,,,,ENERGY,,20,0.25,0.25,,,,,,,2400,,,,,,,PD,"beam0, energy0, pd0",,,,点防御,,,,,,,,,,4
重型炸弹舱,BSC_Heavy_Bomb,1,,200,1200,,5000,,150,15,4,1,,,HIGH_EXPLOSIVE,0,,0,1,1,,0,0,0,0,,180,40,25,600,,,"STRIKE, BOMB","he0, no_sell, no_drop, no_drop_salvage",,,,打击,,无,,,,,,,TRUE,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
冲击光束阵列,BSC_Impulsebeam,2,17500,25000,1500,1000,,,0,30,,,,,KINETIC,,150,0.5,0.2,,,,,,,5000,,,,,,,"STRIKE, USE_VS_FRIGATES","beam20, LR, no_sell, no_drop, no_drop_salvage",,,,压制,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#deco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BSC_nadirdecospinner,,,5,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_sell, no_drop, no_drop_salvage",,,,,,,,,,,,,,
,BSC_nadirdecooverlay,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_sell, no_drop, no_drop_salvage",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
