id,type,text1,text2,text3,notes
BSC_Brigantine,SHIP,"Much like the Marauder-class, the origins of this ship are quite often a topic of debate by spacers. Some see its existence as proof that one or more major powers are providing ships to pirate groups. Others claim the blueprints for this vessel were found out in the deepest parts of space, in the wreckage of an orbital shipyard. Regardless of its original class name and intended role, this vessel is now known as the Brigantine-class and is mostly seen in service to the various pirate groups operating in the sector. Despite being as large as a cruiser this ship has specifications more befitting a large destroyer, leaving it in the awkward position where its size does not match its combat capabilities. Despite that, it is still an absolute terror for traders and small patrol ships to face in battle and a welcome upgrade to the various converted vessels pirate crews often are forced to use..",,,
BSC_Aghast,SHIP,"This slim light cruiser is a dedicated interdictor vessel equipped with a phase ship interdiction array mounted in a generator on its left side. The array completely overloads phase ships for a few seconds, allowing the cruiser or its allies to deal with the threat. The array can only target phase ships however and against regular vessels the Aghast is very much lacking in firepower for its size and cost.",,,
BSC_Tramp,SHIP,"Little more than a cargo container with an engine and bridge, the Tramp is the premium freighter for the destitute and extremely frugal. While it has some armament, the Tramp is best served burning away from a fight, not towards one.",,,
BSC_Marauder,SHIP,"The origins of this ship are quite often debated by spacers. Some think its existence is proof that one or more major powers are providing ships to pirate groups. Others claim the blueprints for this vessel were found in an ruined nanoforge on a dead world. Regardless of its original class name and intended role, this vessel is now popularly referred to as the Marauder-class. It is a fast, agile light destroyer that is commonly employed in rapid strikes against convoys and their escorts. An ammunition feed system gives this ship impressive burst fire capability.",,,
BSC_Adventurer,SHIP,"A capital grade exploration cruiser designed for extended operation far from civilisation either alone or as part of a civilian fleet. Very few were built before the collapse due to lack of demand but now that the sector is a far less hospitable place the Adventurer has seen a resurgence in use amongst Independent Explorers and Scavengers. Despite being outmatched by military grade Capital ships, the Adventurer is still more than capable of defending itself and allies and can easily take on the Junkers, converted freighters and degraded warships prevalent amongst the Sectors more unsavory groups.",,,
BSC_Nebula_MK2,SHIP,"Another conversion by the sectors destitute undesirables and desperately poor, the Nebula MK.II changes the common liner into a light destroyer. Extra armour and weaponry has been bolted on or built into the hull. Despite this, the ships ability to take on any sort of actual military craft is nearly non-existant.",,,
BSC_Starliner_MK2,SHIP,"The Starliner MK.II is a conversion of the common passenger ship into a makeshift cruiser for use by pirate raiders and occasionally independent units. Extra armour and weaponry has been bolted onto or installed into the hull and the ships shuttle bay has been jury rigged into a fighter hangar. Despite these ""improvements"" the ship will still struggle to face off against actual military grade cruisers and even some destroyers.",,,
BSC_anti_phase,SHIP_SYSTEM,A dedicated phaseship interdiction system designed to completely overload enemy phaseships and pull them back into normal space. Generates flux on use.,Offensive,,
BSC_Maraka,SHIP,"Taking a different approach compared to other large Domain warships of the time, the Maraka is a cruiser focused more on speed and pursuit compared with the more common Dominator. Despite this the ship still maintains the trademark armour and heavy ballistic firepower of earlier Domain doctrine and is more than capable of standing up to all but the largest of enemy cruisers.",,,
BSC_Tramp_MK2,SHIP,"A desperate and cheap conversion of an already desperate and cheap freighter, the MK2 version of the Tramp is inspired by similiar conversions done to the Mudskipper. Sacrificing any logistical capability for an array of wielded on gun mounts, the Tramp MK2 can project the appearance of superior firepower though it lacks the flux and defensive capabilites to back it up usually.",,,
